Day,Subject,Session,Time,Response,Reward,Trial
3,2,weathertaskL,4916,1,0,40
3,2,weathertaskL,4941,1,1,41
3,2,weathertaskL,4972,1,1,42
3,2,weathertaskL,4983,1,1,43
3,2,weathertaskL,5039,1,1,44
3,2,weathertaskL,5202,1,1,45
3,2,weathertaskL,5231,1,1,46
3,2,weathertaskL,5251,1,1,47
3,2,weathertaskL,5277,1,1,48
3,2,weathertaskL,5351,1,1,49
3,2,weathertaskL,5362,1,1,50
3,2,weathertaskL,5388,1,1,51
3,2,weathertaskL,5398,1,1,52
3,2,weathertaskL,5638,0,0,53
3,2,weathertaskL,5808,1,1,54
3,2,weathertaskL,6048,0,0,55
3,2,weathertaskL,6244,1,1,56
3,2,weathertaskL,6484,0,0,57
3,2,weathertaskL,6724,0,0,58
3,2,weathertaskL,6964,0,0,59
3,2,weathertaskL,7182,1,0,60
3,2,weathertaskL,7356,1,1,61
3,2,weathertaskL,7596,0,0,62
3,2,weathertaskL,7836,0,0,63
3,2,weathertaskL,8076,0,0,64
3,2,weathertaskL,8250,-1,0,65
3,2,weathertaskL,8490,0,0,66
3,2,weathertaskL,8730,0,0,67
3,2,weathertaskL,8925,1,1,68
3,2,weathertaskL,9094,-1,1,69
3,2,weathertaskL,9334,0,0,70
3,2,weathertaskL,9574,0,0,71
3,2,weathertaskL,9814,0,0,72
3,2,weathertaskL,10052,1,1,73
3,2,weathertaskL,10292,0,0,74
3,2,weathertaskL,10532,0,0,75
3,2,weathertaskL,10721,1,1,76
3,2,weathertaskL,10734,1,1,77
3,2,weathertaskL,10974,0,0,78
3,2,weathertaskL,11214,0,0,79
3,2,weathertaskL,11454,0,0,80
3,2,weathertaskL,11581,-1,0,81
3,2,weathertaskL,11821,0,0,82
3,2,weathertaskL,12061,0,0,83
3,2,weathertaskL,12301,0,0,84
3,2,weathertaskL,12541,0,0,85
3,2,weathertaskL,12781,0,0,86
3,2,weathertaskL,13021,0,0,87
3,2,weathertaskL,13261,0,0,88
3,2,weathertaskL,13501,0,0,89
3,2,weathertaskL,13741,0,0,90
3,2,weathertaskL,13981,0,0,91
3,2,weathertaskL,14185,-1,1,92
3,2,weathertaskL,14425,0,0,93
3,2,weathertaskL,14665,0,0,94
3,2,weathertaskL,14905,0,0,95
3,2,weathertaskL,15145,0,0,96
3,2,weathertaskL,15385,0,0,97
3,2,weathertaskL,15625,0,0,98
3,2,weathertaskL,15865,0,0,99
4,2,weathertaskL,72,1,1,0
4,2,weathertaskL,254,1,1,1
4,2,weathertaskL,494,0,0,2
4,2,weathertaskL,633,1,1,3
4,2,weathertaskL,788,1,0,4
4,2,weathertaskL,923,1,1,5
4,2,weathertaskL,1093,1,1,6
4,2,weathertaskL,1311,1,1,7
4,2,weathertaskL,1499,1,1,8
4,2,weathertaskL,1648,1,1,9
4,2,weathertaskL,1662,1,1,10
4,2,weathertaskL,1687,1,1,11
4,2,weathertaskL,1697,1,1,12
4,2,weathertaskL,1819,1,1,13
4,2,weathertaskL,1849,1,1,14
4,2,weathertaskL,1861,1,1,15
4,2,weathertaskL,1936,1,1,16
4,2,weathertaskL,2000,1,0,17
4,2,weathertaskL,2155,1,1,18
4,2,weathertaskL,2183,1,1,19
4,2,weathertaskL,2228,1,1,20
4,2,weathertaskL,2330,1,0,21
4,2,weathertaskL,2342,1,1,22
4,2,weathertaskL,2365,1,0,23
4,2,weathertaskL,2375,1,1,24
4,2,weathertaskL,2615,0,0,25
4,2,weathertaskL,2855,0,0,26
4,2,weathertaskL,3095,0,0,27
4,2,weathertaskL,3335,0,0,28
4,2,weathertaskL,3575,0,0,29
4,2,weathertaskL,3704,-1,1,30
4,2,weathertaskL,3944,0,0,31
4,2,weathertaskL,4184,0,0,32
4,2,weathertaskL,4424,0,0,33
4,2,weathertaskL,4647,-1,0,34
4,2,weathertaskL,4798,1,1,35
4,2,weathertaskL,5038,0,0,36
4,2,weathertaskL,5278,0,0,37
4,2,weathertaskL,5518,0,0,38
4,2,weathertaskL,5758,0,0,39
4,2,weathertaskL,5998,0,0,40
4,2,weathertaskL,6238,0,0,41
4,2,weathertaskL,6478,0,0,42
4,2,weathertaskL,6640,1,1,43
4,2,weathertaskL,6776,1,1,44
4,2,weathertaskL,7016,0,0,45
4,2,weathertaskL,7256,0,0,46
4,2,weathertaskL,7410,1,1,47
4,2,weathertaskL,7543,1,1,48
4,2,weathertaskL,7691,-1,1,49
4,2,weathertaskL,7931,0,0,50
4,2,weathertaskL,8084,-1,1,51
4,2,weathertaskL,8321,1,1,52
4,2,weathertaskL,8433,1,1,53
4,2,weathertaskL,8673,0,1,54
4,2,weathertaskL,8720,1,1,55
4,2,weathertaskL,8804,-1,0,56
4,2,weathertaskL,8830,1,1,57
4,2,weathertaskL,8879,-1,0,58
4,2,weathertaskL,8981,1,0,59
4,2,weathertaskL,9005,-1,0,60
4,2,weathertaskL,9043,-1,1,61
4,2,weathertaskL,9122,1,1,62
4,2,weathertaskL,9169,1,0,63
4,2,weathertaskL,9196,1,1,64
4,2,weathertaskL,9245,1,1,65
4,2,weathertaskL,9294,1,0,66
4,2,weathertaskL,9321,1,1,67
4,2,weathertaskL,9407,1,0,68
4,2,weathertaskL,9421,1,1,69
4,2,weathertaskL,9457,1,1,70
4,2,weathertaskL,9498,1,1,71
4,2,weathertaskL,9713,1,1,72
4,2,weathertaskL,9953,0,0,73
4,2,weathertaskL,10094,1,1,74
4,2,weathertaskL,10133,1,0,75
4,2,weathertaskL,10171,1,1,76
4,2,weathertaskL,10276,1,1,77
4,2,weathertaskL,10309,1,1,78
4,2,weathertaskL,10531,-1,0,79
4,2,weathertaskL,10673,1,0,80
4,2,weathertaskL,10913,0,0,81
4,2,weathertaskL,11153,0,0,82
4,2,weathertaskL,11393,0,0,83
4,2,weathertaskL,11633,0,0,84
4,2,weathertaskL,11873,0,0,85
4,2,weathertaskL,12113,0,0,86
4,2,weathertaskL,12346,1,1,87
4,2,weathertaskL,12539,1,1,88
4,2,weathertaskL,12779,0,0,89
4,2,weathertaskL,12954,-1,0,90
4,2,weathertaskL,13194,0,0,91
4,2,weathertaskL,13434,0,0,92
4,2,weathertaskL,13674,0,0,93
4,2,weathertaskL,13827,1,1,94
4,2,weathertaskL,13876,1,0,95
4,2,weathertaskL,13910,1,0,96
4,2,weathertaskL,13939,1,1,97
4,2,weathertaskL,13977,1,1,98
4,2,weathertaskL,14028,1,1,99
5,2,weathertaskL,95,1,1,0
5,2,weathertaskL,268,1,0,1
5,2,weathertaskL,466,1,1,2
5,2,weathertaskL,604,1,0,3
5,2,weathertaskL,768,1,0,4
5,2,weathertaskL,931,1,1,5
5,2,weathertaskL,1171,0,0,6
5,2,weathertaskL,1300,1,1,7
5,2,weathertaskL,1311,1,1,8
5,2,weathertaskL,1372,1,1,9
5,2,weathertaskL,1412,1,1,10
5,2,weathertaskL,1455,1,0,11
5,2,weathertaskL,1495,1,1,12
5,2,weathertaskL,1503,1,1,13
5,2,weathertaskL,1716,-1,1,14
5,2,weathertaskL,1956,0,0,15
5,2,weathertaskL,2196,0,0,16
5,2,weathertaskL,2374,-1,0,17
5,2,weathertaskL,2543,-1,0,18
5,2,weathertaskL,2783,0,0,19
5,2,weathertaskL,2961,1,1,20
5,2,weathertaskL,3090,1,1,21
5,2,weathertaskL,3237,1,1,22
5,2,weathertaskL,3369,1,1,23
5,2,weathertaskL,3529,1,1,24
5,2,weathertaskL,3685,1,0,25
5,2,weathertaskL,3830,1,1,26
5,2,weathertaskL,3962,1,1,27
5,2,weathertaskL,4114,1,1,28
5,2,weathertaskL,4245,1,0,29
5,2,weathertaskL,4386,1,1,30
5,2,weathertaskL,4620,1,1,31
5,2,weathertaskL,4631,1,1,32
5,2,weathertaskL,4677,1,1,33
5,2,weathertaskL,4831,1,1,34
5,2,weathertaskL,4843,1,1,35
5,2,weathertaskL,4926,1,0,36
5,2,weathertaskL,4937,1,1,37
5,2,weathertaskL,4944,1,1,38
5,2,weathertaskL,4982,1,0,39
5,2,weathertaskL,5007,1,0,40
5,2,weathertaskL,5018,1,0,41
5,2,weathertaskL,5043,1,1,42
5,2,weathertaskL,5055,1,1,43
5,2,weathertaskL,5128,1,1,44
5,2,weathertaskL,5144,1,1,45
5,2,weathertaskL,5245,1,0,46
5,2,weathertaskL,5277,-1,0,47
5,2,weathertaskL,5443,1,0,48
5,2,weathertaskL,5683,0,0,49
5,2,weathertaskL,5897,-1,0,50
5,2,weathertaskL,6065,1,1,51
5,2,weathertaskL,6240,-1,0,52
5,2,weathertaskL,6480,0,0,53
5,2,weathertaskL,6641,1,1,54
5,2,weathertaskL,6652,1,1,55
5,2,weathertaskL,6706,1,1,56
5,2,weathertaskL,6749,1,1,57
5,2,weathertaskL,6787,1,1,58
5,2,weathertaskL,7027,0,0,59
5,2,weathertaskL,7267,0,0,60
5,2,weathertaskL,7391,1,1,61
5,2,weathertaskL,7548,-1,0,62
5,2,weathertaskL,7788,0,0,63
